S.No.,State Code,State Name (In English),District Code,District Name (In English),Sub-District Code,Sub-District Name (In English),Village Code,Village Version,Village Name (In English),Village Name (In Local),Village Category,Village Status,Census 2001 Code,Census 2011 Code
1,35,Andaman And Nicobar Islands,603,Nicobars,5916,Car Nicobar,645012,1,Mus,,Rural,Inhabitant,35700,645012
2,35,Andaman And Nicobar Islands,603,Nicobars,5916,Car Nicobar,645013,1,Teetop,,Rural,Inhabitant,35800,645013
3,35,Andaman And Nicobar Islands,603,Nicobars,5916,Car Nicobar,645016,1,Kimois,,Rural,Inhabitant,36100,645016
4,35,Andaman And Nicobar Islands,603,Nicobars,5916,Car Nicobar,645017,1,Kakana,,Rural,Inhabitant,36200,645017
5,35,Andaman And Nicobar Islands,603,Nicobars,5916,Car Nicobar,645020,1,Perka,,Rural,Inhabitant,36500,645020
6,35,Andaman And Nicobar Islands,603,Nicobars,5916,Car Nicobar,645021,1,Tamaloo,,Rural,Inhabitant,36600,645021
7,35,Andaman And Nicobar Islands,603,Nicobars,5916,Car Nicobar,645022,1,Kinyuka,,Rural,Inhabitant,36700,645022
8,35,Andaman And Nicobar Islands,603,Nicobars,5916,Car Nicobar,645023,1,Chuckchucha,,Rural,Inhabitant,36800,645023
9,35,Andaman And Nicobar Islands,603,Nicobars,5916,Car Nicobar,645024,1,Tapoiming,,Rural,Inhabitant,36900,645024
10,35,Andaman And Nicobar Islands,603,Nicobars,5916,Car Nicobar,645014,1,Sawai,,Rural,Inhabitant,35900,645014
11,35,Andaman And Nicobar Islands,603,Nicobars,5916,Car Nicobar,645015,1,Arong,,Rural,Inhabitant,36000,645015
12,35,Andaman And Nicobar Islands,603,Nicobars,5916,Car Nicobar,645018,1,Iaf Camp,,Rural,Inhabitant,36300,645018
13,35,Andaman And Nicobar Islands,603,Nicobars,5916,Car Nicobar,645019,1,Malacca,,Rural,Inhabitant,36400,645019
14,35,Andaman And Nicobar Islands,603,Nicobars,5916,Car Nicobar,645025,1,Big Lapati,,Rural,Inhabitant,37000,645025
15,35,Andaman And Nicobar Islands,603,Nicobars,5916,Car Nicobar,645026,1,Small Lapati,,Rural,Inhabitant,37100,645026
16,35,Andaman And Nicobar Islands,603,Nicobars,5916,Car Nicobar,645027,1,Kinmai,,Rural,Inhabitant,37200,645027
17,35,Andaman And Nicobar Islands,603,Nicobars,5918,Great Nicobar,645159,1,Elahi/Ilhoya,,Rural,Un-Inhabitant,50000,645159
18,35,Andaman And Nicobar Islands,603,Nicobars,5918,Great Nicobar,645190,1,Galathia River (Fc),,Rural,Un-Inhabitant,53000,645190
19,35,Andaman And Nicobar Islands,603,Nicobars,5918,Great Nicobar,645205,1,Gol Tikrey,,Rural,Un-Inhabitant,0,645205
20,35,Andaman And Nicobar Islands,603,Nicobars,5918,Great Nicobar,645182,1,Hin-Pou-Chi,,Rural,Un-Inhabitant,52200,645182
21,35,Andaman And Nicobar Islands,603,Nicobars,5918,Great Nicobar,645151,1,Hoin Incl. Ikuia,,Rural,Un-Inhabitant,49200,645151
22,35,Andaman And Nicobar Islands,603,Nicobars,5918,Great Nicobar,645154,1,Hokesiang,,Rural,Un-Inhabitant,49500,645154
23,35,Andaman And Nicobar Islands,603,Nicobars,5918,Great Nicobar,645145,1,Inlock/Infock,,Rural,Un-Inhabitant,48600,645145
